"artist","track","plays","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_s","liked"
"Ty Dolla $ign","Hottest in the City",16,0.747,0.67,"G#",-5.696,"Minor",0.135,0.00594,2.68e-05,0.1,0.377,146.858,"4/4",183,1
"Ty Dolla $ign","Love U Better (feat. Lil Wayne & The-Dream)",1,0.645,0.541,"A#",-6.312,"Minor",0.0385,0.0802,0,0.325,0.411,95.061,"4/4",182,0
"Ty Dolla $ign","Pineapple (feat. Gucci Mane & Quavo)",5,0.964,0.555,"F",-6.245,"Minor",0.0499,0.0301,0.000567,0.128,0.338,130.017,"4/4",218,0
"Ty Dolla $ign","Purple Emoji (feat. J. Cole)",1,0.707,0.543,"G#",-4.61,"Major",0.279,0.151,0,0.384,0.824,144.18,"4/4",164,0
"Ty Dolla $ign","Spicy (feat. Post Malone)",2,0.782,0.51,"E",-5.724,"Minor",0.0419,0.143,0,0.115,0.118,99.993,"4/4",143,0
"Tycho","Skate",3,0.703,0.231,"F",-13.094,"Minor",0.0338,0.939,0.0207,0.103,0.421,97.07,"4/4",187,0
"Tycho","Skate (pluko Remix)",2,0.797,0.584,"C#",-8.751,"Major",0.0694,0.0941,0.404,0.104,0.316,99.992,"4/4",197,0
"Tyga","Dip (feat. Nicki Minaj)",2,0.885,0.543,"D",-6.338,"Major",0.2,0.0311,0,0.154,0.43,99.026,"4/4",196,0
"Tyga","Do My Dance",1,0.838,0.618,"A",-5.187,"Major",0.0805,0.00357,0.00166,0.132,0.746,153.95,"4/4",214,0
"Tyga","Girls Have Fun (feat. G-Eazy & Rich The Kid)",5,0.888,0.74,"G#",-5.363,"Major",0.238,0.00586,0,0.218,0.664,100.003,"4/4",176,0
"Tyga","Goddamn",1,0.951,0.573,"C",-6.002,"Minor",0.227,0.0667,0,0.119,0.42,105.052,"4/4",211,0
"Tyga","Goddamn (feat. A Boogie wit da Hoodie)",22,0.951,0.573,"C",-6.002,"Minor",0.227,0.0667,0,0.119,0.42,105.052,"4/4",211,1
"Tyga","Haute (feat. J Balvin & Chris Brown)",36,0.946,0.723,"A",-3.692,"Major",0.114,0.0778,0,0.0608,0.349,102.956,"4/4",161,1
"Tyga","Lightskin Lil Wayne",1,0.916,0.518,"G#",-7.082,"Major",0.475,0.311,0,0.138,0.464,99.983,"4/4",154,0
"Tyga","Rack City",3,0.929,0.339,"C#",-10.881,"Major",0.371,0.0373,1.96e-05,0.187,0.273,98.986,"4/4",203,0
"Tyga","SWISH",56,0.884,0.541,"B",-5.608,"Major",0.221,0.0831,0,0.118,0.274,105.009,"4/4",195,1
"Tyga","Taste (feat. Offset)",66,0.884,0.559,"C",-7.442,"Major",0.12,0.0236,0,0.101,0.342,97.994,"4/4",233,1
"Tyga","VACATION",2,0.821,0.61,"C#",-6.22,"Major",0.0959,0.0247,0,0.185,0.47,110.973,"4/4",193,0
"Tyla Yaweh","Adderall",1,0.672,0.726,"C",-5.212,"Major",0.0795,0.0265,0,0.133,0.636,80.09,"4/4",168,0
"Tyla Yaweh","High Right Now",86,0.737,0.548,"E",-7.003,"Minor",0.0498,0.0127,9.76e-06,0.176,0.156,160.058,"4/4",176,1
